,address,Latitude,Longitude
138,서울특별시 강남구 영동대로128길 5,37.52014887,127.0581561
139,서울특별시 강남구 영동대로138길 12,37.52410147,127.0572498
140,서울특별시 강남구 영동대로142길 16,37.52475781,127.056212
141,서울특별시 강남구 영동대로142길 25,37.52525587,127.0550973
142,서울특별시 강남구 영동대로57길 28,37.49992533,127.0653161
143,서울특별시 강남구 영동대로72길 10,37.50465722,127.0667896
144,서울특별시 강남구 일원로 120,37.48520191,127.0826728
145,서울특별시 강남구 일원로 127,37.48315929,127.0853838
146,서울특별시 강남구 자곡로 101,37.47265508,127.0958055
147,서울특별시 강남구 자곡로 175,37.47425017,127.1025413
148,서울특별시 강남구 자곡로 21,37.46734665,127.0932645
149,서울특별시 강남구 자곡로 260,37.47654872,127.1116057
150,서울특별시 강남구 자곡로3길 45,37.47222547,127.0906853
151,서울특별시 강남구 테헤란로 428,37.50569199,127.0541832
152,서울특별시 강남구 테헤란로4길 46,37.49554814,127.0300647
153,서울특별시 강남구 테헤란로52길 16,37.50249755,127.0463814
154,서울특별시 강남구 테헤란로63길 12,37.50611474,127.0509476
155,서울특별시 강남구 테헤란로77길 26,37.50851742,127.0540461
156,서울특별시 강남구 학동로 165,37.51386117,127.0289785
157,서울특별시 강남구 학동로 405,37.51778334,127.0423582
158,서울특별시 강남구 학동로 432,37.51820401,127.0486971
159,서울특별시 강남구 학동로 513,37.52001983,127.0542167
160,서울특별시 강남구 학동로105길 30,37.52300534,127.0586579
161,서울특별시 강남구 학동로46길 38,37.51329581,127.0386651
162,서울특별시 강남구 학동로64길 14,37.51676411,127.0446104
163,서울특별시 강남구 학동로64길 7,37.51753655,127.0455392
164,서울특별시 강남구 학동로68길 29,37.51656029,127.0471878
165,서울특별시 강남구 학동로68길 30,37.51657975,127.0465099
166,서울특별시 강남구 학동로77길 27,37.52088487,127.0477889
167,서울특별시 강남구 학동로77길 49,37.52212834,127.0475662
168,서울특별시 강남구 헌릉로571길 20,37.46709824,127.1021018
169,서울특별시 강남구 헌릉로590길 10,37.46450499,127.1026803
170,서울특별시 강남구 헌릉로590길 100,37.46352927,127.1010245
171,서울특별시 강남구 헌릉로590길 11,37.46438764,127.104165
172,서울특별시 강남구 헌릉로590길 63,37.46104654,127.1015409
173,서울특별시 강동구 고덕로 130,37.55420667,127.1409011
174,서울특별시 강동구 고덕로 131,37.55516675,127.1438388
175,서울특별시 강동구 고덕로 210,37.5538093,127.147061
176,서울특별시 강동구 고덕로 333,37.55618058,127.1593233
177,서울특별시 강동구 고덕로 360,37.55668291,127.1695273
178,서울특별시 강동구 고덕로 399,37.55744052,127.1696789
179,서울특별시 강동구 고덕로 427,37.55879729,127.1731822
180,서울특별시 강동구 고덕로27길 36,37.55688852,127.1384371
181,서울특별시 강동구 고덕로61길 37,37.55675612,127.1519579
182,서울특별시 강동구 고덕로62길 126,37.549685,127.1522367
183,서울특별시 강동구 고덕로62길 29,37.55431733,127.1542273
184,서울특별시 강동구 고덕로62길 76,37.55084401,127.1515673
185,서울특별시 강동구 고덕로80길 134,37.55171846,127.164857
186,서울특별시 강동구 고덕로80길 99,37.55079267,127.1664048
187,서울특별시 강동구 고덕로97길 20,37.55920849,127.1799976
188,서울특별시 강동구 고덕로97길 29,37.55835403,127.1778326
189,서울특별시 강동구 구천면로 189,37.54159201,127.1255364
190,서울특별시 강동구 구천면로 278,37.54464714,127.1338815
191,서울특별시 강동구 구천면로 366,37.55011366,127.1390467
192,서울특별시 강동구 구천면로 557,37.55112552,127.1596713
193,서울특별시 강동구 구천면로41길 79,37.54740659,127.1299635
194,서울특별시 강동구 구천면로42길 16,37.54537415,127.1344457
195,서울특별시 강동구 동남로49길 60-5,37.53303819,127.1461367
196,서울특별시 강동구 동남로79길 26,37.55918388,127.1537442
197,서울특별시 강동구 명일로 102,37.5276464,127.1425472
198,서울특별시 강동구 명일로 113,37.52919773,127.1421795
199,서울특별시 강동구 명일로 172,37.53413819,127.1450708
200,서울특별시 강동구 명일로 260,37.54113399,127.147402
201,서울특별시 강동구 명일로 293,37.54470657,127.1463634
