,address,station3,market,school,bank,cafe,hospital
149,서울특별시 강남구 자곡로 260,0.0,10.0,20.0,1.0,9.0,4.0
150,서울특별시 강남구 자곡로3길 45,0.0,30.0,40.0,2.0,2.0,3.0
151,서울특별시 강남구 테헤란로 428,40.0,60.0,0.0,70.0,193.0,88.0
152,서울특별시 강남구 테헤란로4길 46,70.0,60.0,20.0,74.0,285.0,304.0
153,서울특별시 강남구 테헤란로52길 16,40.0,60.0,60.0,61.0,178.0,132.0
154,서울특별시 강남구 테헤란로63길 12,100.0,50.0,20.0,57.0,169.0,118.0
155,서울특별시 강남구 테헤란로77길 26,0.0,50.0,0.0,65.0,174.0,71.0
156,서울특별시 강남구 학동로 165,50.0,40.0,0.0,21.0,110.0,44.0
157,서울특별시 강남구 학동로 405,100.0,40.0,40.0,25.0,127.0,94.0
158,서울특별시 강남구 학동로 432,20.0,30.0,40.0,18.0,48.0,77.0
159,서울특별시 강남구 학동로 513,50.0,40.0,20.0,25.0,49.0,64.0
160,서울특별시 강남구 학동로105길 30,0.0,10.0,20.0,15.0,24.0,22.0
161,서울특별시 강남구 학동로46길 38,40.0,30.0,20.0,36.0,126.0,88.0
162,서울특별시 강남구 학동로64길 14,100.0,40.0,80.0,26.0,98.0,110.0
163,서울특별시 강남구 학동로64길 7,40.0,40.0,60.0,28.0,90.0,121.0
164,서울특별시 강남구 학동로68길 29,0.0,50.0,60.0,26.0,56.0,80.0
165,서울특별시 강남구 학동로68길 30,40.0,40.0,80.0,27.0,66.0,99.0
166,서울특별시 강남구 학동로77길 27,0.0,30.0,40.0,25.0,87.0,103.0
167,서울특별시 강남구 학동로77길 49,0.0,20.0,40.0,27.0,102.0,115.0
168,서울특별시 강남구 헌릉로571길 20,0.0,60.0,40.0,1.0,19.0,14.0
169,서울특별시 강남구 헌릉로590길 10,0.0,50.0,20.0,3.0,21.0,16.0
170,서울특별시 강남구 헌릉로590길 100,0.0,50.0,20.0,2.0,14.0,15.0
171,서울특별시 강남구 헌릉로590길 11,0.0,50.0,20.0,4.0,20.0,16.0
172,서울특별시 강남구 헌릉로590길 63,0.0,50.0,0.0,1.0,6.0,5.0
173,서울특별시 강동구 고덕로 130,20.0,70.0,60.0,9.0,38.0,51.0
174,서울특별시 강동구 고덕로 131,20.0,70.0,100.0,7.0,26.0,40.0
175,서울특별시 강동구 고덕로 210,20.0,70.0,140.0,10.0,34.0,46.0
176,서울특별시 강동구 고덕로 333,20.0,60.0,80.0,12.0,31.0,38.0
177,서울특별시 강동구 고덕로 360,20.0,20.0,60.0,9.0,35.0,39.0
178,서울특별시 강동구 고덕로 399,20.0,20.0,40.0,10.0,38.0,39.0
179,서울특별시 강동구 고덕로 427,50.0,20.0,40.0,8.0,24.0,25.0
180,서울특별시 강동구 고덕로27길 36,0.0,50.0,80.0,6.0,22.0,18.0
181,서울특별시 강동구 고덕로61길 37,50.0,50.0,100.0,12.0,35.0,48.0
182,서울특별시 강동구 고덕로62길 126,0.0,50.0,100.0,13.0,41.0,26.0
183,서울특별시 강동구 고덕로62길 29,50.0,60.0,80.0,19.0,37.0,48.0
184,서울특별시 강동구 고덕로62길 76,0.0,40.0,80.0,18.0,55.0,41.0
185,서울특별시 강동구 고덕로80길 134,0.0,40.0,60.0,0.0,7.0,3.0
186,서울특별시 강동구 고덕로80길 99,0.0,30.0,100.0,0.0,13.0,6.0
187,서울특별시 강동구 고덕로97길 20,20.0,30.0,40.0,4.0,2.0,4.0
188,서울특별시 강동구 고덕로97길 29,50.0,40.0,40.0,1.0,2.0,3.0
189,서울특별시 강동구 구천면로 189,40.0,30.0,0.0,34.0,103.0,129.0
190,서울특별시 강동구 구천면로 278,0.0,80.0,60.0,15.0,41.0,32.0
191,서울특별시 강동구 구천면로 366,20.0,70.0,80.0,12.0,43.0,41.0
192,서울특별시 강동구 구천면로 557,0.0,40.0,80.0,7.0,27.0,19.0
193,서울특별시 강동구 구천면로41길 79,20.0,40.0,60.0,22.0,69.0,63.0
194,서울특별시 강동구 구천면로42길 16,0.0,70.0,80.0,16.0,41.0,19.0
